station_code,stationName
43740000,영동군
43740250,영동읍
43740320,황간면
43745000,증평군
43745250,증평읍
43745310,도안면
43750000,진천군
43750250,진천읍
43750253,덕산읍
43760000,괴산군
43760250,괴산읍
43760310,감물면
43760360,청천면
43770000,음성군
43770250,음성읍
43770253,금왕
43770310,소이면
43800000,단양군
43800250,단양읍
43800253,매포읍
44000000,충청남도
44130000,천안시
44131108,구성동
44131113,봉명동
44131116,신방동
44133103,백석동
44133105,성성동
44133253,성거읍
44150000,공주시
44150000,공주
44150320,탄천면
44180000,보령시
44180000,대천2동
44180320,외연도
44180320,보령항
44180410,주교면
44200000,아산시
44200101,온천동
44200113,모종동
44200119,남동
44200253,배방읍
44200310,송악면
44200360,둔포면
44200380,인주면
44200400,도고면
44210000,서산시
44210250,대산항
44210250,독곶리
44210360,성연면
44230000,논산시
44230000,논산
44230253,연무읍
44230310,성동면
44250000,계룡시
44250315,엄사면
44270000,당진시
44270000,당진시청사
44270101,읍내동
44270250,합덕읍
44270253,평택당진항(당진항)
44270253,복운리
44270380,평택당진항
44270390,송산면
44710000,금산군
44710250,금산읍
44760000,부여군
44760250,부여읍
44770000,서천군
44770250,장항읍
44770250,장항항
44770253,서천읍
44790000,청양군
44790250,청양읍
44790330,정산면
44800000,홍성군
44800250,홍성읍
44800256,내포
44810000,예산군
44810253,삽교읍
44810380,고덕면(충남)
44825000,태안군
44825250,태안읍
44825330,격렬비열도
44825350,원북면
44825350,태안항
44825360,이원면
45000000,전북특별자치도
46000000,전라남도
46110000,목포시
46110103,연산동
46130000,서강동
46130000,여수시
46130000,여수항
46130000,삼일동
46130120,문수동
46130126,덕충동
46130146,월내동
46130320,율촌면
46130330,화양면
46150000,순천시
46150000,순천만
46150114,연향동
46150310,호두리
46150310,신대
46170000,나주시
46170109,보산동
46170134,빛가람동
46230000,광양항
46230000,광양 중마
46230000,광양시
46230104,성황동
46230109,태인동
46230250,광양 율촌
46230250,광양읍
46230310,봉강면
46230350,진월면
46710000,담양군
46710250,담양읍
46720000,곡성군
46720250,곡성읍
46730000,구례군
46730250,구례읍
46730330,파도리
46770000,고흥군
46770250,고흥읍
46780000,보성군
46780250,보성읍
46780253,벌교읍
46790000,화순군
46790250,화순읍
46790330,청풍면
46790395,송단리
46800000,장흥군
46800250,장흥읍
46810000,강진군
46810250,강진읍
46820000,해남군
46820250,해남읍
46830000,영암군
46830250,영암읍
46830253,대불
46830253,목포항
46840000,무안군
46840250,무안읍
46840256,남악.오룡
46860000,함평군
46860250,함평읍
46870000,영광군
46870250,영광읍
46870380,안마도
46880000,장성군
46880250,장성읍
46890000,완도군
46890320,신지면
46900000,진도군
46900250,진도읍
46910000,신안군
46910360,가거도
46910360,홍도
47000000,경상북도
47110000,포항시
47111000,남구
47111000,제철동
47111000,포항항
47111102,대도동
47111104,송도동
47111105,청림동
47111111,장흥동
47111253,연일읍
47111256,오천읍
47111310,3공단
47111310,대송면
47113000,장량동
47113000,북구
47113109,대신동
47113118,우현동
47130000,경주시
47130000,보덕동
47130108,성건동
47130127,평동
47130253,안강읍
47130259,외동읍
47150000,평화남산동
47150000,김천시
47150110,삼락동
47150117,대광동
47150120,율곡동
47170000,안동시
47170111,동문동
47170126,금곡동
47170137,송천동
47190000,진미동
47190000,구미시
47190101,원평동
47190102,지산동
47190109,형곡동
47190113,공단동
47190256,4공단
47210000,영주시
47210101,영주동
47210105,가흥동
47230000,영천시
47250000,상주시
47250420,화북면
47280000,문경시
47290000,경산시
47290117,중방동
47290121,여천동(울산)
47290121,여천동(여수)
47290250,하양읍
47290253,진량읍
47730000,의성군
47730250,의성읍
47730340,사곡면
47730430,안계면
47730430,안계면(교외)
47750000,청송군
47750250,청송읍
47760000,영양군
47770000,영덕군
47770250,영덕읍
47770310,강구면
47770360,영해면
47820000,청도군
47820250,화양읍
47830000,고령군
47830253,대가야읍
47840000,성주군
47850000,칠곡군
47900000,예천군
47900310,용문면
47920000,봉화군
