station_code,lowest_name
11470101,신정동
11470102,목동
11470103,신월동
11500000,강서구
11500101,염창동
11500102,등촌동
11500103,화곡동
11500104,가양동
11500105,마곡동
11500106,내발산동
11500107,외발산동
11500108,공항동
11500109,방화동
11500110,개화동
11500111,과해동
11500112,오곡동
11500113,오쇠동
11530000,구로구
11530101,신도림동
11530102,구로동
11530103,가리봉동
11530106,고척동
11530107,개봉동
11530108,오류동
11530109,궁동
11530110,온수동
11530111,천왕동
11530112,항동
11545000,금천구
11545101,가산동
11545102,독산동
11545103,시흥동
11560000,영등포구
11560101,영등포동
11560102,영등포동1가
11560103,영등포동2가
11560104,영등포동3가
11560105,영등포동4가
11560106,영등포동5가
11560107,영등포동6가
11560108,영등포동7가
11560109,영등포동8가
11560110,여의도동
11560111,당산동1가
11560112,당산동2가
11560113,당산동3가
11560114,당산동4가
11560115,당산동5가
11560116,당산동6가
11560117,당산동
11560118,도림동
11560119,문래동1가
11560120,문래동2가
11560121,문래동3가
11560122,문래동4가
11560123,문래동5가
11560124,문래동6가
11560125,양평동1가
11560126,양평동2가
11560127,양평동3가
11560128,양평동4가
11560129,양평동5가
11560130,양평동6가
11560131,양화동
11560132,신길동
11560133,대림동
11560134,양평동
11590000,동작구
11590101,노량진동
11590102,상도동
11590103,상도1동
11590104,본동
11590105,흑석동
11590106,동작동
11590107,사당동
11590108,대방동
11590109,신대방동
11620000,관악구
11620101,봉천동
11620102,신림동
11620103,남현동
11650000,서초구
11650101,방배동
11650102,양재동
11650103,우면동
11650104,원지동
11650106,잠원동
11650107,반포동
11650108,서초동
11650109,내곡동
11650110,염곡동
11650111,신원동
11680000,강남구
11680101,역삼동
11680103,개포동
11680104,청담동
11680105,삼성동
11680106,대치동
11680107,신사동
11680108,논현동
11680110,압구정동
11680111,세곡동
11680112,자곡동
11680113,율현동
11680114,일원동
11680115,수서동
11680118,도곡동
11710000,송파구
11710101,잠실동
11710102,신천동
11710103,풍납동
11710104,송파동
11710105,석촌동
11710106,삼전동
11710107,가락동
11710108,문정동
11710109,장지동
11710111,방이동
11710112,오금동
11710113,거여동
11710114,마천동
11740000,강동구
11740101,명일동
11740102,고덕동
11740103,상일동
11740105,길동
11740106,둔촌동
11740107,암사동
11740108,성내동
11740109,천호동
11740110,강일동
26000000,부산광역시
26110000,중구
26110101,영주동
26110102,대창동1가
26110103,대창동2가
26110104,중앙동1가
26110105,중앙동2가
26110106,중앙동3가
26110107,중앙동4가
26110108,중앙동5가
26110109,중앙동6가
26110110,중앙동7가
26110111,동광동1가
26110112,동광동2가
26110113,동광동3가
26110114,동광동4가
26110115,동광동5가
26110116,대청동1가
26110117,대청동2가
26110118,대청동3가
26110119,대청동4가
26110120,보수동1가
26110121,보수동2가
26110122,보수동3가
26110123,부평동1가
26110124,부평동2가
26110125,부평동3가
26110126,부평동4가
26110127,신창동1가
26110128,신창동2가
26110129,신창동3가
26110130,신창동4가
26110131,창선동1가
26110132,창선동2가
26110133,광복동1가
26110134,광복동2가
26110135,광복동3가
26110136,남포동1가
26110137,남포동2가
26110138,남포동3가
26110139,남포동4가
26110140,남포동5가
26110141,남포동6가
26140000,서구
26140101,동대신동1가
26140102,동대신동2가
26140103,동대신동3가
26140104,서대신동1가
26140105,서대신동2가
26140106,서대신동3가
26140107,부용동1가
26140108,부용동2가
26140109,부민동1가
26140110,부민동2가
26140111,부민동3가
26140112,토성동1가
26140113,토성동2가
26140114,토성동3가
26140115,아미동1가
26140116,아미동2가
26140117,토성동4가
26140118,토성동5가
26140119,초장동
26140120,충무동1가
26140121,충무동2가
26140122,충무동3가
26140123,남부민동
26140124,암남동
26170000,동구
26170101,초량동
26170102,수정동
26170103,좌천동
26170104,범일동
26200000,영도구
26200101,대교동1가
26200102,대교동2가
26200103,대평동1가
26200104,대평동2가
26200105,남항동1가
26200106,남항동2가
26200107,남항동3가
26200108,영선동1가
26200109,영선동2가
26200110,영선동3가
26200111,영선동4가
26200112,신선동1가
26200113,신선동2가
26200114,신선동3가
26200115,봉래동1가
26200116,봉래동2가
26200117,봉래동3가
26200118,봉래동4가
26200119,봉래동5가
26200120,청학동
26200121,동삼동
26230000,부산진구
26230101,양정동
26230102,전포동
26230103,부전동
26230104,범천동
26230105,범전동
26230106,연지동
26230107,초읍동
26230108,부암동
26230109,당감동
26230110,가야동
26230111,개금동
26260000,동래구
26260101,명장동
26260102,안락동
26260103,칠산동
26260104,낙민동
26260105,복천동
26260106,수안동
26260107,명륜동
26260108,온천동
26260109,사직동
26290000,남구
26290106,대연동
26290107,용호동
26290108,용당동
26290109,문현동
26290110,우암동
26290111,감만동
26320000,북구
26320101,금곡동
26320102,화명동
26320103,만덕동
26320104,덕천동
26320105,구포동
26350000,해운대구
26350101,반송동
26350102,석대동
26350103,반여동
26350104,재송동
26350105,우동
26350106,중동
26350107,좌동
26350108,송정동
26380000,사하구
26380101,괴정동
26380102,당리동
26380103,하단동
26380104,신평동
26380105,장림동
26380106,다대동
26380107,구평동
26380108,감천동
26410000,금정구
26410101,두구동
26410102,노포동
26410103,청룡동
26410104,남산동
26410105,선동
26410106,오륜동
26410107,구서동
26410108,장전동
26410109,부곡동
26410110,서동
26410111,금사동
26410112,회동동
26410113,금성동
26440000,강서구
26440101,대저1동
26440102,대저2동
26440103,강동동
26440104,명지동
26440105,죽림동
26440106,식만동
26440107,죽동동
26440108,봉림동
26440109,송정동
26440110,화전동
26440111,녹산동
26440112,생곡동
26440113,구랑동
26440114,지사동
26440115,미음동
26440116,범방동
26440117,신호동
26440118,동선동
26440119,성북동
26440120,눌차동
26440121,천성동
26440122,대항동
26470000,연제구
26470101,거제동
26470102,연산동
26500000,수영구
26500101,망미동
26500102,수영동
26500103,민락동
26500104,광안동
26500105,남천동
26530000,사상구
26530101,삼락동
26530102,모라동
26530103,덕포동
26530104,괘법동
26530105,감전동
26530106,주례동
26530107,학장동
26530108,엄궁동
26710000,기장군
26710250,기장읍
26710250,동부리
26710250,교리
26710250,신천리
26710250,죽성리
26710250,서부리
26710250,대라리
26710250,청강리
26710250,대변리
26710250,연화리
26710250,만화리
26710250,석산리
26710250,당사리
26710250,시랑리
26710250,내리
26710253,장안읍
26710253,좌천리
26710253,효암리
26710253,고리
26710253,좌동리
26710253,장안리
26710253,덕선리
26710253,용소리
26710253,기룡리
26710253,명례리
26710253,월내리
26710253,반룡리
26710253,임랑리
26710253,오리
26710253,길천리
26710256,정관읍
26710256,방곡리
26710256,매학리
26710256,임곡리
26710256,월평리
26710256,달산리
26710256,병산리
26710256,모전리
26710256,용수리
26710256,두명리
26710256,예림리
26710259,일광읍
26710259,삼성리
26710259,이천리
26710259,학리
26710259,동백리
26710259,문중리
26710259,신평리
26710259,칠암리
26710259,문동리
26710259,청광리
26710259,원리
26710259,화전리
26710259,횡계리
26710259,용천리
26710330,철마면
26710330,와여리
26710330,장전리
26710330,백길리
26710330,송정리
26710330,웅천리
26710330,연구리
26710330,구칠리
26710330,이곡리
26710330,고촌리
26710330,안평리
26710330,임기리
27000000,대구광역시
27110000,중구
27110101,동인동1가
27110102,동인동2가
27110103,동인동3가
27110104,동인동4가
27110105,삼덕동1가
27110106,삼덕동2가
27110107,삼덕동3가
27110108,봉산동
27110109,장관동
27110110,상서동
27110111,수동
27110112,덕산동
27110113,종로1가
27110114,종로2가
27110115,사일동
27110116,동일동
27110117,남일동
27110118,전동
27110119,동성로3가
27110120,동문동
27110121,문화동
27110122,공평동
27110123,동성로2가
27110124,태평로1가
27110125,교동
27110126,용덕동
27110127,상덕동
27110128,완전동
27110129,도원동
27110130,수창동
27110131,태평로3가
27110132,인교동
27110133,서야동
27110134,서성로1가
27110135,시장북로
