station_code,stationName
44230253,연무읍
46110103,연산동
28185000,연수구
47111253,연일읍
26470000,연제구
52180105,연지동
41800000,연천
41800000,연천(DMZ)
41800000,연천군
46150114,연향동
27260123,연호동
46870000,영광군
46870250,영광읍
47770000,영덕군
47770250,영덕읍
26200000,영도구
43740000,영동군
43740250,영동읍
11560000,영등포구
46830000,영암군
46830250,영암읍
47760000,영양군
51750000,영월군
51750250,영월읍
47210101,영주동
47210000,영주시
43150110,영천동
47230000,영천시
41117105,영통동
52180120,영파동
47770360,영해면
44810000,예산군
47900000,예천군
41360262,오남읍
41590129,오산동
41370000,오산시
29200202,오선동
43113250,오송읍
52210118,오정동
43114253,오창읍
47111256,오천읍
52130310,옥산면
43730000,옥천군
51150109,옥천동
43730250,옥천읍
51110121,온의동
44200101,온천동
28720000,옹진군
41360250,와부읍
46890000,완도군
52710000,완주군
47130259,외동읍
52210101,요촌동
52180124,용계동
43111121,용담동
48330113,용당동
52140440,용동면
47900310,용문면
11170000,용산구
52790340,용수리
43111124,용암동
41460000,용인시
48123134,용지동
48123135,용호동
26350105,우동
51130111,우산동(광주)
41590256,우정읍
51730310,우천면
47113118,우현동
52190250,운봉읍
29170109,운암동
52750320,운암면
41135115,운중동
47940000,울릉군
47940250,울릉읍
31710000,울주군
47930000,울진군
48123129,웅남동
31710340,웅촌면
41273108,원곡동
44825350,원북면
51130000,원주시
47190101,원평동
41570350,월곶면
46130146,월내동
48125134,월영동
50130115,월평동
27710259,유가읍
30200000,유성구
29140116,유촌동
47150120,율곡동
46130320,율촌면
11380000,은평구
43770000,음성군
43770250,음성읍
44270101,읍내동
48720000,의령군
48720250,의령읍
47730000,의성군
47730250,의성읍
41430000,의왕시
41150101,의정부동
41150000,의정부시
27290108,이곡동
51170118,이도동
41461256,이동읍
44825360,이원면
41500000,이천시
48170127,이현동
52140000,익산시
41115141,인계동
51810000,인제(DMZ)
51810000,인제군
51810250,인제읍
44200380,인주면
29170127,일곡동
41650370,일동면
52750000,임실군
52750250,임실읍
52740335,장계면
43150116,장락동
26380105,장림동
46880000,장성군
46880250,장성읍
52740000,장수군
52740250,장수읍
48250132,장유동
52750250,장재리
48129145,장천동
44770250,장항읍
51150118,장현동
41500250,장호원읍
46800000,장흥군
47111111,장흥동
46800250,장흥읍
26350104,재송동
48310330,저구리
36110370,전의면
52110000,전주시
26230102,전포동
48250115,전하동
30170104,정림동
44790330,정산면
51770000,정선군
51770250,정선읍
41390132,정왕동
52180000,정읍시
41135103,정자동
48170320,정촌면
50110000,제주
50110000,제주시
43150000,제천시
50110259,조천읍
11110000,종로
11110000,종로구
26350107,좌동
44180410,주교면
51150250,주문진읍
41287102,주엽동
29155106,주월동
52210320,죽산면
52190103,죽항동
31110000,중구
52130130,중동
11260000,중랑구
47290117,중방동
51210103,중앙동(강원)
51210103,중앙동(경기)
43130385,중앙탑면
43745000,증평군
43745250,증평읍
47190102,지산동
51130330,지정면
30200120,지족동
46900000,진도군
46900250,진도읍
47290253,진량읍
48250330,진례면
52720000,진안군
52720250,진안읍
48250250,진영읍
46230350,진월면
41360253,진접읍
48170000,진주시
43750000,진천군
27290117,진천동
43750250,진천읍
48740000,창녕군
48740250,창녕읍
48120000,창원시
