station_name,station_code
연산동,46110103
연수구,28185000
연일읍,47111253
연제구,26470000
연지동,52180105
연천,41800000
연천(DMZ),41800000
연천군,41800000
연향동,46150114
연호동,27260123
영광군,46870000
영광읍,46870250
영덕군,47770000
영덕읍,47770250
영도구,26200000
영동군,43740000
영동읍,43740250
영등포구,11560000
영암군,46830000
영암읍,46830250
영양군,47760000
영월군,51750000
영월읍,51750250
영주동,47210101
영주시,47210000
영천동,43150110
영천시,47230000
영통동,41117105
영파동,52180120
영해면,47770360
예산군,44810000
예천군,47900000
오남읍,41360262
오산동,41590129
오산시,41370000
오선동,29200202
오송읍,43113250
오정동,52210118
오창읍,43114253
오천읍,47111256
옥산면,52130310
옥천군,43730000
옥천동,51150109
옥천읍,43730250
온의동,51110121
온천동,44200101
옹진군,28720000
와부읍,41360250
완도군,46890000
완주군,52710000
외동읍,47130259
요촌동,52210101
용계동,52180124
용담동,43111121
용당동,48330113
용동면,52140440
용문면,47900310
용산구,11170000
용수리,52790340
용암동,43111124
용인시,41460000
용지동,48123134
용호동,48123135
우동,26350105
우산동(광주),51130111
우정읍,41590256
우천면,51730310
우현동,47113118
운봉읍,52190250
운암동,29170109
운암면,52750320
운중동,41135115
울릉군,47940000
울릉읍,47940250
울주군,31710000
울진군,47930000
웅남동,48123129
웅촌면,31710340
원곡동,41273108
원북면,44825350
원주시,51130000
원평동,47190101
월곶면,41570350
월내동,46130146
월영동,48125134
월평동,50130115
유가읍,27710259
유성구,30200000
유촌동,29140116
율곡동,47150120
율촌면,46130320
은평구,11380000
음성군,43770000
음성읍,43770250
읍내동,44270101
의령군,48720000
의령읍,48720250
의성군,47730000
의성읍,47730250
의왕시,41430000
의정부동,41150101
의정부시,41150000
이곡동,27290108
이도동,51170118
이동읍,41461256
이원면,44825360
이천시,41500000
이현동,48170127
익산시,52140000
인계동,41115141
인제(DMZ),51810000
인제군,51810000
인제읍,51810250
인주면,44200380
일곡동,29170127
일동면,41650370
임실군,52750000
임실읍,52750250
장계면,52740335
장락동,43150116
장림동,26380105
장성군,46880000
장성읍,46880250
장수군,52740000
장수읍,52740250
장유동,48250132
장재리,52750250
장천동,48129145
장항읍,44770250
장현동,51150118
장호원읍,41500250
장흥군,46800000
장흥동,47111111
장흥읍,46800250
재송동,26350104
저구리,48310330
전의면,36110370
전주시,52110000
전포동,26230102
전하동,48250115
정림동,30170104
정산면,44790330
정선군,51770000
정선읍,51770250
정왕동,41390132
정읍시,52180000
정자동,41135103
정촌면,48170320
제주,50110000
제주시,50110000
제천시,43150000
조천읍,50110259
종로,11110000
종로구,11110000
좌동,26350107
주교면,44180410
주문진읍,51150250
주엽동,41287102
주월동,29155106
죽산면,52210320
죽항동,52190103
중구,31110000
중동,52130130
중랑구,11260000
중방동,47290117
중앙동(강원),51210103
중앙동(경기),51210103
중앙탑면,43130385
증평군,43745000
증평읍,43745250
지산동,47190102
지정면,51130330
지족동,30200120
진도군,46900000
진도읍,46900250
진량읍,47290253
진례면,48250330
진안군,52720000
진안읍,52720250
진영읍,48250250
진월면,46230350
진접읍,41360253
진주시,48170000
진천군,43750000
진천동,27290117
진천읍,43750250
창녕군,48740000
창녕읍,48740250
창원시,48120000
창전동,41550110
천곡동,51170101
천안시,44130000
천천동,41111133
철산동,41210102
철원(DMZ),51780000
철원군,51780000
청계동,48125154
청도군,47820000
청룡동,41220126
청림동,47111105
청북읍,41220259
청송군,47750000
청송읍,47750250
청양군,44790000
청양읍,44790250
청주시,43110000
청천면,43760360
청풍면,46790330
청학동,51210105
초당동,51150112
초량동,26170101
초지동,41273107
춘천시,51110000
춘포면,52140420
충주시,43130000
치평동,29140120
칠곡군,47850000
칠금동,43130116
침산동,30140122
탄천면,44150320
태백시,51190000
태안군,44825000
태안읍,44825250
태인동,46230109
태전동,41610110
태하리,47940310
통영시,48220000
파도리,46730330
파주,41480000
파주시,41480000
파주읍,41480253
팔봉동,52140127
평동,47130127
평리동,41113130
평창군,51760000
평창읍,51760250
평택시,41220000
포천시,41650000
포항시,47110000
하남시,41450000
하동군,48850000
하동읍,48850250
하양읍,47290250
학장동,26530107
한림읍,50110250
한솔동,36110106
함안군,48730000
함양군,48870000
함양읍,48870250
함열읍,52140250
함평군,46860000
함평읍,46860250
합덕읍,44270250
합천군,48890000
합천읍,48890250
해남군,46820000
해남읍,46820250
해운대구,26350000
행신동,41281128
향남읍,41590259
향촌동,48240116
형곡동,47190109
호두리,46150310
호림동,27290105
호암동,43130107
홍성군,44800000
홍성읍,44800250
홍천군,51720000
홍천읍,51720250
화도읍,41360256
화명동,26320102
화북면,47250420
화산리,52790250
화성시,41590000
화순군,46790000
화순읍,46790250
화양면,46130330
화양읍,47820250
화원읍,27710250
화천(DMZ),51790000
화천군,51790000
화천읍,51790250
황간면,43740320
황지동,51190101
회동동,26410112
회원동,48127108
횡성군,51730000
횡성읍,51730250
효문동,31200123
효자동,51110112
